x,y
0.0,0.9784432474100937
0.10101010101010101,0.022011088922079702
0.20202020202020202,0.8371903571626211
0.30303030303030304,1.289537904569729
0.40404040404040403,0.012224780711669991
0.5050505050505051,0.32692425495994026
0.6060606060606061,-0.20763459353597302
0.7070707070707071,1.5762023437438577
0.8080808080808081,0.2956833431949879
0.9090909090909091,0.41403303840288697
1.0101010101010102,1.4903128372216639
1.1111111111111112,1.0749481784070052
1.2121212121212122,0.8286915981562251
1.3131313131313131,2.3118840496890316
1.4141414141414141,2.1914018688263317
1.5151515151515151,0.5742291766705172
1.6161616161616161,1.332117778682779
1.7171717171717171,2.4541355111924057
1.8181818181818181,1.9543471736647673
1.9191919191919191,2.35943153874853
2.0202020202020203,1.9084590471592495
2.121212121212121,2.3838765062636815
2.2222222222222223,1.6743415017810053
2.323232323232323,2.5132489877440536
2.4242424242424243,1.8984368381191752
2.525252525252525,1.7399458435470487
2.6262626262626263,2.1371133158350775
2.727272727272727,2.874806570024813
2.8282828282828283,2.4415006752483404
2.929292929292929,2.6600525717850534
3.0303030303030303,2.5789262029072244
3.131313131313131,3.822929372679871
3.2323232323232323,3.5991462301988664
3.3333333333333335,2.5423734458110134
3.4343434343434343,2.768853217371684
3.5353535353535355,3.6443263091430715
3.6363636363636362,4.044844666105479
3.7373737373737375,3.224759256634875
3.8383838383838382,2.9088309049341445
3.9393939393939394,3.6718285684845107
4.040404040404041,4.524552383605625
4.141414141414141,4.3851302055994275
4.242424242424242,3.356031994067477
4.343434343434343,5.176554973557577
4.444444444444445,5.162900538191881
4.545454545454545,3.880568223096878
4.646464646464646,5.197986264802161
4.747474747474747,5.416396789337623
4.848484848484849,5.64382004262408
4.94949494949495,5.378118538391859
5.05050505050505,4.575585983483531
5.151515151515151,4.4832136045135655
5.252525252525253,5.5076293970587695
5.353535353535354,4.688276883883303
5.454545454545454,6.335439711106271
5.555555555555555,5.360907629682394
5.656565656565657,5.468130909302446
5.757575757575758,5.320682774188441
5.858585858585858,6.6748999120619965
5.959595959595959,6.285381432113942
6.0606060606060606,5.910398614459891
6.161616161616162,5.898615540561697
6.262626262626262,7.2075637030033235
6.363636363636363,5.543471174259572
6.4646464646464645,6.802770882843399
6.565656565656566,6.93732797570817
6.666666666666667,6.845256696911022
6.767676767676767,5.855417147459356
6.8686868686868685,7.437454340616073
6.96969696969697,6.4905765041642765
7.070707070707071,8.057496881307172
7.171717171717171,6.315776162904662
7.2727272727272725,7.337158909498061
7.373737373737374,8.104286168345594
7.474747474747475,7.600333799862117
7.575757575757575,6.672844238368009
7.6767676767676765,7.126291046086331
7.777777777777778,7.372514790136753
7.878787878787879,7.087027436731944
7.979797979797979,7.683374787860204
8.080808080808081,7.625309117951492
8.181818181818182,7.602077927245293
8.282828282828282,8.533050787001423
8.383838383838384,8.621934676214197
8.484848484848484,9.055579908615087
8.585858585858587,9.128356393750403
8.686868686868687,8.634714260658722
8.787878787878787,9.092729222974068
8.88888888888889,9.357638573945076
8.98989898989899,8.227396126489742
9.09090909090909,8.938394191096611
9.191919191919192,8.777572986325456
9.292929292929292,9.187843216519
9.393939393939394,8.580742946218635
9.494949494949495,8.898999977046575
9.595959595959595,9.463211044705519
9.696969696969697,9.60339495289754
9.797979797979798,9.407205586043382
9.8989898989899,10.540100155222357
10.0,10.201095215823
